variable,coef,class_label,outcome,std_err,p_value,spec,base_category,stars,coef_se
Intercept,-0.8981435795456288,Contracts Expression,Contracts Expression,0.22160942223902602,5.0603467380251556e-05,spec_base_1,Expands Expression,***,-0.898*** (0.222)
Intercept,-1.0173624184633085,Mixed Outcome,Mixed Outcome,0.1353781820989378,5.692578161712693e-14,spec_base_1,Expands Expression,***,-1.017*** (0.135)
wdj_expression_lag1,-0.10482242139866288,Contracts Expression,Contracts Expression,0.2809740308819088,0.7090978301079355,spec_base_1,Expands Expression,,-0.105 (0.281)
wdj_expression_lag1,0.06811728702902323,Mixed Outcome,Mixed Outcome,0.18796995153146703,0.7170651574536573,spec_base_1,Expands Expression,,0.068 (0.188)
v2jureform_lag1,0.21197629329276318,Contracts Expression,Contracts Expression,0.15307163268538035,0.16610824330113982,spec_base_1,Expands Expression,,0.212 (0.153)
v2jureform_lag1,0.18394203824803362,Mixed Outcome,Mixed Outcome,0.12233372081829494,0.13268216798613625,spec_base_1,Expands Expression,,0.184 (0.122)
Intercept,-0.9562839519011622,Contracts Expression,Contracts Expression,0.24934551538886404,0.00012547438054087313,spec_base_2,Expands Expression,***,-0.956*** (0.249)
Intercept,-1.0941482285633324,Mixed Outcome,Mixed Outcome,0.1375808262657839,1.8239146609715284e-15,spec_base_2,Expands Expression,***,-1.094*** (0.138)
wdj_expression_lag1,-0.04225865211483613,Contracts Expression,Contracts Expression,0.3085971396438758,0.8910798609894967,spec_base_2,Expands Expression,,-0.042 (0.309)
wdj_expression_lag1,0.14085459524060046,Mixed Outcome,Mixed Outcome,0.23718336680704893,0.5526032699230835,spec_base_2,Expands Expression,,0.141 (0.237)
v2jupoatck_lag1,0.1190073719523266,Contracts Expression,Contracts Expression,0.12131370186499882,0.32659830885692176,spec_base_2,Expands Expression,,0.119 (0.121)
v2jupoatck_lag1,0.14050913397182785,Mixed Outcome,Mixed Outcome,0.10459587665679344,0.17915785495947867,spec_base_2,Expands Expression,,0.141 (0.105)
Intercept,-0.865844937332447,Contracts Expression,Contracts Expression,0.29882490102487624,0.003761505945650222,spec_base_3,Expands Expression,***,-0.866*** (0.299)
Intercept,-1.226145720032393,Mixed Outcome,Mixed Outcome,0.1531584564651023,1.1875707528182138e-15,spec_base_3,Expands Expression,***,-1.226*** (0.153)
wdj_expression_lag1,-0.07429937417817638,Contracts Expression,Contracts Expression,0.287038191251172,0.795752218696144,spec_base_3,Expands Expression,,-0.074 (0.287)
wdj_expression_lag1,-0.004747545760778755,Mixed Outcome,Mixed Outcome,0.2141679944894349,0.982314429082984,spec_base_3,Expands Expression,,-0.005 (0.214)
v2jupack_lag1,-0.03221546132466393,Contracts Expression,Contracts Expression,0.160575051915804,0.8409913625716795,spec_base_3,Expands Expression,,-0.032 (0.161)
v2jupack_lag1,0.22374819061527912,Mixed Outcome,Mixed Outcome,0.08770680666059562,0.010738577169951418,spec_base_3,Expands Expression,**,0.224** (0.088)
Intercept,2.158969943175428,Contracts Expression,Contracts Expression,0.6525309993751378,0.0009376067641659406,spec_extended_1,Expands Expression,***,2.159*** (0.653)
Intercept,-1.5657213808410335,Mixed Outcome,Mixed Outcome,0.6000342038935732,0.00907046287763001,spec_extended_1,Expands Expression,***,-1.566*** (0.6)
wdj_expression_lag1,0.08058964959375428,Contracts Expression,Contracts Expression,0.1961946839972403,0.6812458306483835,spec_extended_1,Expands Expression,,0.081 (0.196)
wdj_expression_lag1,-0.01228116888205608,Mixed Outcome,Mixed Outcome,0.2222340797780151,0.9559294875436634,spec_extended_1,Expands Expression,,-0.012 (0.222)
v2jureform_lag1,0.3347437869690959,Contracts Expression,Contracts Expression,0.12389669734967006,0.006896575159474577,spec_extended_1,Expands Expression,***,0.335*** (0.124)
v2jureform_lag1,0.15077688246292484,Mixed Outcome,Mixed Outcome,0.1832996733943528,0.4107523469632679,spec_extended_1,Expands Expression,,0.151 (0.183)
v2x_polyarchy_lag1,-3.487024175450778,Contracts Expression,Contracts Expression,1.2153318028065618,0.0041151774517195,spec_extended_1,Expands Expression,***,-3.487*** (1.215)
v2x_polyarchy_lag1,1.6950080010263215,Mixed Outcome,Mixed Outcome,0.8727834800460167,0.052128434221163665,spec_extended_1,Expands Expression,*,1.695* (0.873)
v2jureview_lag1,-0.8298983624956936,Contracts Expression,Contracts Expression,0.32260439288989773,0.01009682563111095,spec_extended_1,Expands Expression,**,-0.83** (0.323)
v2jureview_lag1,-0.447608047125495,Mixed Outcome,Mixed Outcome,0.35731593112249327,0.2103165563829391,spec_extended_1,Expands Expression,,-0.448 (0.357)
legal_common,2.1902480007332135,Contracts Expression,Contracts Expression,0.34919151867256704,3.5566140401474837e-10,spec_extended_1,Expands Expression,***,2.19*** (0.349)
legal_common,1.336783843373958,Mixed Outcome,Mixed Outcome,0.45886204875137504,0.003576781795367006,spec_extended_1,Expands Expression,***,1.337*** (0.459)
legal_civil,0.6711549970475719,Contracts Expression,Contracts Expression,0.3679223459699133,0.0681255164902344,spec_extended_1,Expands Expression,*,0.671* (0.368)
legal_civil,0.32169337458917924,Mixed Outcome,Mixed Outcome,0.37508569607715186,0.39108409683265666,spec_extended_1,Expands Expression,,0.322 (0.375)
high_court,-0.41807291479785785,Contracts Expression,Contracts Expression,0.2787670529427257,0.13368658492969107,spec_extended_1,Expands Expression,,-0.418 (0.279)
high_court,0.03840777669043817,Mixed Outcome,Mixed Outcome,0.14550557564481476,0.7918100795916979,spec_extended_1,Expands Expression,,0.038 (0.146)
j_ind_lag1,-0.2483863422956348,Contracts Expression,Contracts Expression,0.2645733677154398,0.3478239969450555,spec_extended_1,Expands Expression,,-0.248 (0.265)
j_ind_lag1,-0.3865367849161935,Mixed Outcome,Mixed Outcome,0.20373647221048388,0.05779639907274617,spec_extended_1,Expands Expression,*,-0.387* (0.204)
Intercept,5.770121417491797,Contracts Expression,Contracts Expression,1.3326055186704469,1.4914007512484214e-05,spec_extended_1_spline,Expands Expression,***,5.77*** (1.333)
Intercept,3.08992557300324,Mixed Outcome,Mixed Outcome,0.8060736501604648,0.0001264334021670889,spec_extended_1_spline,Expands Expression,***,3.09*** (0.806)
"bs(year, df=4)[0]",-6.322949345863342,Contracts Expression,Contracts Expression,3.174899260132636,0.046421189952320634,spec_extended_1_spline,Expands Expression,**,-6.323** (3.175)
"bs(year, df=4)[0]",-11.42238840897178,Mixed Outcome,Mixed Outcome,1.8053490720457475,2.500228453634894e-10,spec_extended_1_spline,Expands Expression,***,-11.422*** (1.805)
"bs(year, df=4)[1]",-4.259781883026874,Contracts Expression,Contracts Expression,0.7873419712769437,6.290782626545835e-08,spec_extended_1_spline,Expands Expression,***,-4.26*** (0.787)
"bs(year, df=4)[1]",-3.254905733958088,Mixed Outcome,Mixed Outcome,1.0493331218554576,0.0019229569993219442,spec_extended_1_spline,Expands Expression,***,-3.255*** (1.049)
"bs(year, df=4)[2]",-3.5461075604258427,Contracts Expression,Contracts Expression,1.5462271685900542,0.021825352243489603,spec_extended_1_spline,Expands Expression,**,-3.546** (1.546)
"bs(year, df=4)[2]",-4.691834299466954,Mixed Outcome,Mixed Outcome,0.9567602523156159,9.396348843502603e-07,spec_extended_1_spline,Expands Expression,***,-4.692*** (0.957)
"bs(year, df=4)[3]",-6.079203612902383,Contracts Expression,Contracts Expression,2.026030284099187,0.0026949318463098046,spec_extended_1_spline,Expands Expression,***,-6.079*** (2.026)
"bs(year, df=4)[3]",-3.904159583452654,Mixed Outcome,Mixed Outcome,0.8344484220901035,2.8865604094916983e-06,spec_extended_1_spline,Expands Expression,***,-3.904*** (0.834)
wdj_expression_lag1,0.15453421046055343,Contracts Expression,Contracts Expression,0.26692985223645105,0.5626351146529377,spec_extended_1_spline,Expands Expression,,0.155 (0.267)
wdj_expression_lag1,-0.22502288800801362,Mixed Outcome,Mixed Outcome,0.29180381580669945,0.44062132636924933,spec_extended_1_spline,Expands Expression,,-0.225 (0.292)
v2jureform_lag1,0.3651950811949933,Contracts Expression,Contracts Expression,0.1185411890920687,0.002064839542549352,spec_extended_1_spline,Expands Expression,***,0.365*** (0.119)
v2jureform_lag1,0.2087287239548541,Mixed Outcome,Mixed Outcome,0.17983758354353346,0.2457837368310607,spec_extended_1_spline,Expands Expression,,0.209 (0.18)
v2x_polyarchy_lag1,-3.1733348855504206,Contracts Expression,Contracts Expression,1.233297213033976,0.010080676328589337,spec_extended_1_spline,Expands Expression,**,-3.173** (1.233)
v2x_polyarchy_lag1,1.254729784239471,Mixed Outcome,Mixed Outcome,0.9734478735155649,0.197413988393209,spec_extended_1_spline,Expands Expression,,1.255 (0.973)
v2jureview_lag1,-0.7836166889924188,Contracts Expression,Contracts Expression,0.32855972841057846,0.017078875953830848,spec_extended_1_spline,Expands Expression,**,-0.784** (0.329)
v2jureview_lag1,-0.41456191686393795,Mixed Outcome,Mixed Outcome,0.34259870996284625,0.22625931784856024,spec_extended_1_spline,Expands Expression,,-0.415 (0.343)
legal_common,2.2005765739383825,Contracts Expression,Contracts Expression,0.3749428598130066,4.3817108967251105e-09,spec_extended_1_spline,Expands Expression,***,2.201*** (0.375)
legal_common,1.565062221071288,Mixed Outcome,Mixed Outcome,0.42748721465254963,0.00025116044014548424,spec_extended_1_spline,Expands Expression,***,1.565*** (0.427)
legal_civil,0.6949523416394697,Contracts Expression,Contracts Expression,0.3606894689994441,0.05401289957514912,spec_extended_1_spline,Expands Expression,*,0.695* (0.361)
legal_civil,0.4091192511093506,Mixed Outcome,Mixed Outcome,0.34525360872733696,0.2360246333301118,spec_extended_1_spline,Expands Expression,,0.409 (0.345)
high_court,-0.2690797371496649,Contracts Expression,Contracts Expression,0.3164991583674602,0.3952276842839151,spec_extended_1_spline,Expands Expression,,-0.269 (0.316)
high_court,0.21157263642397384,Mixed Outcome,Mixed Outcome,0.1754247684623803,0.22779470780316113,spec_extended_1_spline,Expands Expression,,0.212 (0.175)
j_ind_lag1,-0.3212825542072371,Contracts Expression,Contracts Expression,0.2675203553352358,0.22976482087075945,spec_extended_1_spline,Expands Expression,,-0.321 (0.268)
j_ind_lag1,-0.361172708840743,Mixed Outcome,Mixed Outcome,0.1977757832029956,0.06782427284085704,spec_extended_1_spline,Expands Expression,*,-0.361* (0.198)
Intercept,-72.52019396219004,Contracts Expression,Contracts Expression,53.8517959028117,0.1780889558092975,spec_extended_1_spline_interact,Expands Expression,,-72.52 (53.852)
Intercept,25.6690831488084,Mixed Outcome,Mixed Outcome,51.82418592345107,0.6203806918792512,spec_extended_1_spline_interact,Expands Expression,,25.669 (51.824)
"bs(year, df=4)[0]",39.770179982236066,Contracts Expression,Contracts Expression,57.12387919526896,0.4862977201251053,spec_extended_1_spline_interact,Expands Expression,,39.77 (57.124)
