Name,Tag,Number,Question,Clarification,Aggregation
Electoral democracy index (D),v2x_polyarchy,2.1.1,To what extent is the ideal of electoral democracy in its fullest sense achieved?,"The electoral principle of democracy seeks to embody the core value of making rulers responsive to citizens, achieved through electoral competition for the electorate’s approval under circumstances when suffrage is extensive; political and civil society organizations can operate freely; elections are clean and not marred by fraud or systematic irregularities; and elections affect the composition of the chief executive of the country. In between elections, there is freedom of expression and an independent media capable of presenting alternative views on matters of political relevance. In the V-Dem conceptual scheme, electoral democracy is understood as an essential element of any other conception of representative democracy — liberal, participatory, deliberative, egalitarian, or some other.",Bayesian factor analysis
Freedom of Expression and Alternative Sources of Information index,v2x_freexp_altinf,2.2.3,"To what extent does government respect press and media freedom, the freedom of ordinary people to discuss political matters at home and in the public sphere, as well as the freedom of academic and cultural expression?",This index includes all variables in the two indices v2x_freexp and v2xme_altinf.,Bayesian factor analysis
Freedom of expression index,v2x_freexp,5.12.5,"To what extent does government respect press and media freedom, the freedom of ordinary people to discuss political matters at home and in the public sphere, as well as the freedom of academic and cultural expression?", ,Bayesian factor analysis
Judicial constraints on the executive index,v2x_jucon,2.2.10,"To what extent does the executive respect the constitution and comply with court rulings, and to what extent is the judiciary able to act in an independent fashion?", ,Bayesian factor analysis
Judicial reform,v2jureform,3.8.1.1,Were the judiciary’s formal powers altered this year in ways that affect its ability to control the arbitrary use of state authority?,"Evidence of this kind of reform could include the creation or removal of various forms of constitutional review, new rules increasing or decreasing access to the judiciary, changes in available judicial remedies, and any other formal institution (procedural or otherwise) that influences the ability of courts to control the arbitrary use of power.",Bayesian IRT
Judicial purges,v2jupurge,3.8.1.2,"Judges are sometimes removed from their posts for cause, as when there is strong evidence of corruption; however, some judges are removed arbitrarily, typically for political reasons. With this distinction in mind, please describe the removal of judges that occurred this calendar year","The second and third response categories permit you to distinguish among limited arbitrary removals (i.e., when only a few judges are targeted) by the political importance of the removal. For example, you may consider the arbitrary removal of a few high court judges as more important than the arbitrary removal of a few lower court judges.",Bayesian IRT
Government attacks on judiciary,v2jupoatck,3.8.1.3,How often did the government attack the judiciary’s integrity in public?,"Attacks on the judiciary’s integrity can include claims that it is corrupt, incompetent or that decisions were politically motivated. These attacks can manifest in various ways including, but not limited to prepared statements reported by the media, press conferences, interviews, and stump speeches.",Bayesian IRT
Court packing,v2jupack,3.8.1.4,"The size of the judiciary is sometimes increased for very good reasons, as when judges are added to manage an increasing caseload; however, sometimes judges are added purely for political reasons. With this distinction in mind, please describe any increases in the size of the judiciary that occurred this calendar year.","The second and third response categories permit you to distinguish among limited court packing efforts (i.e. when relatively few judgeships are added) by the political importance of the packing. For example, you may consider the packing of the high court to be more important than the packing of a lower court.",Bayesian IRT
Judicial accountability,v2juaccnt,3.8.1.5,"When judges are found responsible for serious misconduct, how often are they removed from their posts or otherwise disciplined?", ,Bayesian IRT
Judicial corruption decision,v2jucorrdc,3.8.1.6,How often do individuals or businesses make undocumented extra payments or bribes in order to speed up or delay the process or to obtain a favorable judicial decision?, ,Bayesian IRT
High court independence,v2juhcind,3.8.1.8,"When the high court in the judicial system is ruling in cases that are salient to the government, how often would you say that it makes decisions that merely reflect government wishes regardless of its sincere view of the legal record?","We are seeking to identify autonomous judicial decision-making and its absence. Decisions certainly can reflect government wishes without ""merely reflecting"" those wishes, i.e. a court can be autonomous when its decisions support the government’s position. This is because a court can be fairly persuaded that the government’s position is meritorious. By ""merely reflect the wishes of the government"" we mean that the court’s own view of the record, its sincere evaluation of the record, is irrelevant to the outcome. The court simply adopts the government’s position regardless of its sincere view of the record.",Bayesian IRT
Lower court independence,v2juncind,3.8.1.9,"When judges not on the high court are ruling in cases that are salient to the government, how often would you say that their decisions merely reflect government wishes regardless of their sincere view of the legal record?", ,Bayesian IRT
Compliance with high court,v2juhccomp,3.8.1.10,How often would you say the government complies with important decisions of the high court with which it disagrees?, ,Bayesian IRT
Compliance with judiciary,v2jucomp,3.8.1.11,How often would you say the government complies with important decisions by other courts with which it disagrees?, ,Bayesian IRT
Judicial review,v2jureview,3.8.1.12,"Does any court in the judiciary have the legal authority to invalidate governmental policies (e.g. statutes, regulations, decrees, administrative actions) on the grounds that they violate a constitutional provision?", ,Bayesian IRT
